Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
piątek	pirsek	N	1.8	0.25	4	-3	2/3	-404	824	_pir[se]k_
spokój	krodój	N	2.5	0.7	0	-2	2/3	35	38	_[kro]dój_
spokój	krobój	N	2.4	0.6	0	-2	2/3	35	52	_[kro]bój_
spokój	krowój	N	2.0	0.2	0	-2	2/3	35	39	_[kro]wój_
spokój	kropój	N	2.0	0.2	0	-2	2/3	35	36	_[kro]pój_
spokój	skodój	N	2.0	0.2	0	-2	2/3	-57	103	[_sk]odój_
spokój	skobój	N	2.0	0.2	0	-2	2/3	-57	117	[_sk]obój_
spokój	skowój	N	2.0	0.2	0	-2	2/3	-57	104	[_sk]owój_
spokój	skopój	N	1.9	0.1	2	0	2/3	-57	101	[_sk]opój_
spokój	stodój	N	2.15	0.35	1	-1	2/3	105	128	[_st]odój_
spokój	stobój	N	2.0	0.2	0	-2	2/3	105	142	[_st]obój_
spokój	stowój	N	2.0	0.2	0	-2	2/3	105	129	[_st]owój_
spokój	stopój	N	1.9	0.1	2	0	2/3	105	126	[_st]opój_
spokój	czodój	N	2.55	0.75	0	-2	2/3	-97	178	_[czo]dój_
spokój	czobój	N	2.7	0.9	0	-2	2/3	-97	192	_[czo]bój_
spokój	czowój	N	2.25	0.45	0	-2	2/3	-97	179	_[czo]wój_
spokój	czopój	N	2.0	0.2	1	-1	2/3	-97	176	_[czo]pój_
spokój	szodój	N	2.25	0.45	0	-2	2/3	77	155	[_sz]odój_
spokój	szobój	N	2.1	0.3	0	-2	2/3	77	169	[_sz]obój_
spokój	szowój	N	2.0	0.2	0	-2	2/3	77	156	[_sz]owój_
spokój	szopój	N	1.95	0.15	1	-1	2/3	77	153	[_sz]opój_
format	germat	N	1.9	0.3	2	-4	2/3	-113	265	_[ge]rmat_
format	gorbat	N	2.0	0.4	0	-6	2/3	103	335	[_g]orbat_
format	gorsat	N	1.95	0.35	1	-5	2/3	103	329	[_g]orsat_
format	gorpat	N	2.5	0.9	0	-6	2/3	103	379	[_g]orpat_
format	gormyt	N	2.35	0.75	0	-6	2/3	103	325	[_g]ormyt_
format	gormit	N	2.05	0.45	0	-6	2/3	-116	374	_gor[mi]t_
format	gorlat	N	2.15	0.55	0	-6	2/3	103	326	[_g]orlat_
format	gorcat	N	2.4	0.8	0	-6	2/3	106	313	_go[rc]at_
format	gorłat	N	2.15	0.55	0	-6	2/3	112	396	_gor[ła]t_
format	ferbat	N	1.9	0.3	2	-4	2/3	-104	295	_[fe]rbat_
format	fersat	N	1.95	0.35	1	-5	2/3	-104	289	_[fe]rsat_
format	ferpat	N	2.1	0.5	1	-5	2/3	-104	339	_[fe]rpat_
format	fermyt	N	1.85	0.25	3	-3	2/3	-104	285	_[fe]rmyt_
format	fermit	N	1.8	0.2	4	-2	2/3	-116	334	_fer[mi]t_
format	ferlat	N	1.95	0.35	1	-5	2/3	-104	286	_[fe]rlat_
format	fercat	N	1.95	0.35	1	-5	2/3	106	273	_fe[rc]at_
